Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-10-22,8:00 PM,10:00 PM,Edmonton Oilers,5,Vegas Golden Knights,3,Regulation
2021-10-23,11:00 AM,1:00 PM,New York Rangers,3,Ottawa Senators,2,Regulation
2021-10-23,11:00 AM,1:00 PM,Calgary Flames,4,Washington Capitals,3,OT
2021-10-23,4:00 PM,6:00 PM,Anaheim Ducks,3,Minnesota Wild,4,OT
2021-10-23,5:00 PM,7:00 PM,Detroit Red Wings,1,Montreal Canadiens,6,Regulation
2021-10-23,5:00 PM,7:00 PM,Colorado Avalanche,4,Tampa Bay Lightning,3,SO
2021-10-23,5:00 PM,7:00 PM,Buffalo Sabres,1,New Jersey Devils,2,OT
2021-10-23,5:00 PM,7:00 PM,Florida Panthers,4,Philadelphia Flyers,2,Regulation
2021-10-23,5:00 PM,7:00 PM,Toronto Maple Leafs,1,Pittsburgh Penguins,7,Regulation
2021-10-23,5:00 PM,7:00 PM,Carolina Hurricanes,5,Columbus Blue Jackets,1,Regulation
2021-10-23,5:00 PM,7:00 PM,Nashville Predators,4,Winnipeg Jets,6,Regulation
2021-10-23,6:00 PM,8:00 PM,Los Angeles Kings,3,St. Louis Blues,7,Regulation
2021-10-23,7:00 PM,9:00 PM,New York Islanders,3,Arizona Coyotes,0,Regulation
2021-10-23,8:00 PM,10:00 PM,Vancouver Canucks,4,Seattle Kraken,2,Regulation
2021-10-24,11:00 AM,1:00 PM,San Jose Sharks,3,Boston Bruins,4,Regulation
2021-10-24,4:00 PM,6:00 PM,Nashville Predators,5,Minnesota Wild,2,Regulation
2021-10-24,5:00 PM,7:00 PM,Detroit Red Wings,6,Chicago Blackhawks,3,Regulation
2021-10-24,8:00 PM,10:00 PM,New York Islanders,2,Vegas Golden Knights,0,Regulation
2021-10-25,5:00 PM,7:00 PM,Tampa Bay Lightning,1,Buffalo Sabres,5,Regulation
2021-10-25,5:00 PM,7:00 PM,Washington Capitals,7,Ottawa Senators,5,Regulation
