Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-11-22,7:30 PM,8:30 PM,Ottawa Senators,5,Colorado Avalanche,7,Regulation
2021-11-22,9:30 PM,10:30 PM,Carolina Hurricanes,1,San Jose Sharks,2,OT
2021-11-23,6:00 PM,7:00 PM,Philadelphia Flyers,0,Tampa Bay Lightning,4,Regulation
2021-11-23,7:30 PM,8:30 PM,Edmonton Oilers,1,Dallas Stars,4,Regulation
2021-11-23,8:00 PM,9:00 PM,Chicago Blackhawks,2,Calgary Flames,5,Regulation
2021-11-24,6:00 PM,7:00 PM,Boston Bruins,5,Buffalo Sabres,1,Regulation
2021-11-24,6:00 PM,7:00 PM,Philadelphia Flyers,1,Florida Panthers,2,OT
2021-11-24,6:00 PM,7:00 PM,Minnesota Wild,3,New Jersey Devils,2,SO
2021-11-24,6:00 PM,7:00 PM,Vancouver Canucks,1,Pittsburgh Penguins,4,Regulation
2021-11-24,6:00 PM,7:00 PM,Montreal Canadiens,3,Washington Capitals,6,Regulation
2021-11-24,6:00 PM,7:00 PM,Winnipeg Jets,0,Columbus Blue Jackets,3,Regulation
2021-11-24,6:30 PM,7:30 PM,St. Louis Blues,2,Detroit Red Wings,4,Regulation
2021-11-24,6:30 PM,7:30 PM,New York Rangers,4,New York Islanders,1,Regulation
2021-11-24,7:00 PM,8:00 PM,Vegas Golden Knights,5,Nashville Predators,2,Regulation
2021-11-24,8:00 PM,9:00 PM,Anaheim Ducks,2,Colorado Avalanche,5,Regulation
2021-11-24,9:00 PM,10:00 PM,Edmonton Oilers,5,Arizona Coyotes,3,Regulation
2021-11-24,9:00 PM,10:00 PM,Toronto Maple Leafs,6,Los Angeles Kings,2,Regulation
2021-11-24,9:00 PM,10:00 PM,Carolina Hurricanes,1,Seattle Kraken,2,Regulation
2021-11-24,9:30 PM,10:30 PM,Ottawa Senators,3,San Jose Sharks,6,Regulation
2021-11-26,12:00 PM,1:00 PM,New York Rangers,5,Boston Bruins,2,Regulation
2021-11-26,2:30 PM,3:30 PM,Carolina Hurricanes,6,Philadelphia Flyers,3,Regulation
2021-11-26,2:30 PM,3:30 PM,St. Louis Blues,2,Chicago Blackhawks,3,OT
2021-11-26,2:30 PM,3:30 PM,Winnipeg Jets,1,Minnesota Wild,7,Regulation
2021-11-26,3:00 PM,4:00 PM,Ottawa Senators,0,Anaheim Ducks,4,Regulation
2021-11-26,4:00 PM,5:00 PM,Florida Panthers,3,Washington Capitals,4,Regulation
2021-11-26,5:00 PM,6:00 PM,New Jersey Devils,2,Nashville Predators,4,Regulation
2021-11-26,6:00 PM,7:00 PM,Montreal Canadiens,1,Buffalo Sabres,4,Regulation
2021-11-26,6:00 PM,7:00 PM,Seattle Kraken,0,Tampa Bay Lightning,3,Regulation
2021-11-26,6:00 PM,7:00 PM,Vancouver Canucks,2,Columbus Blue Jackets,4,Regulation
2021-11-26,6:30 PM,7:30 PM,Pittsburgh Penguins,1,New York Islanders,0,Regulation
2021-11-26,6:30 PM,7:30 PM,Colorado Avalanche,1,Dallas Stars,3,Regulation
2021-11-26,9:30 PM,10:30 PM,Toronto Maple Leafs,4,San Jose Sharks,1,Regulation
2021-11-27,5:00 PM,6:00 PM,Seattle Kraken,4,Florida Panthers,1,Regulation
2021-11-27,6:00 PM,7:00 PM,Buffalo Sabres,2,Detroit Red Wings,3,OT
2021-11-27,6:00 PM,7:00 PM,Montreal Canadiens,6,Pittsburgh Penguins,3,Regulation
2021-11-27,6:00 PM,7:00 PM,Edmonton Oilers,3,Vegas Golden Knights,2,Regulation
2021-11-27,6:00 PM,7:00 PM,Ottawa Senators,2,Los Angeles Kings,4,Regulation
2021-11-27,7:00 PM,8:00 PM,Columbus Blue Jackets,3,St. Louis Blues,6,Regulation
2021-11-27,7:00 PM,8:00 PM,Dallas Stars,3,Arizona Coyotes,2,Regulation
2021-11-27,8:00 PM,9:00 PM,Nashville Predators,2,Colorado Avalanche,6,Regulation
2021-11-27,9:00 PM,10:00 PM,Winnipeg Jets,4,Calgary Flames,2,Regulation
2021-11-28,12:00 PM,1:00 PM,Washington Capitals,4,Carolina Hurricanes,2,Regulation
2021-11-28,1:00 PM,2:00 PM,Tampa Bay Lightning,2,Minnesota Wild,4,Regulation
2021-11-28,6:00 PM,7:00 PM,Vancouver Canucks,2,Boston Bruins,3,Regulation
2021-11-28,6:00 PM,7:00 PM,Philadelphia Flyers,2,New Jersey Devils,5,Regulation
2021-11-28,6:00 PM,7:00 PM,San Jose Sharks,2,Chicago Blackhawks,0,Regulation
2021-11-28,7:00 PM,8:00 PM,Toronto Maple Leafs,5,Anaheim Ducks,1,Regulation
2021-11-29,6:00 PM,7:00 PM,Seattle Kraken,7,Buffalo Sabres,4,Regulation
2021-11-29,6:30 PM,7:30 PM,Vancouver Canucks,2,Montreal Canadiens,1,Regulation
2021-11-29,6:30 PM,7:30 PM,Arizona Coyotes,1,Winnipeg Jets,0,Regulation
2021-11-29,8:00 PM,9:00 PM,Pittsburgh Penguins,1,Calgary Flames,2,SO
2021-11-30,6:00 PM,7:00 PM,Detroit Red Wings,2,Boston Bruins,1,Regulation
2021-11-30,6:00 PM,7:00 PM,Washington Capitals,4,Florida Panthers,5,Regulation
2021-11-30,6:00 PM,7:00 PM,San Jose Sharks,5,New Jersey Devils,2,Regulation
2021-11-30,7:00 PM,8:00 PM,Tampa Bay Lightning,3,St. Louis Blues,4,SO
2021-11-30,7:00 PM,8:00 PM,Columbus Blue Jackets,0,Nashville Predators,6,Regulation
2021-11-30,7:00 PM,8:00 PM,Arizona Coyotes,2,Minnesota Wild,5,Regulation
2021-11-30,7:30 PM,8:30 PM,Carolina Hurricanes,1,Dallas Stars,4,Regulation
2021-11-30,9:30 PM,10:30 PM,Anaheim Ducks,5,Los Angeles Kings,4,SO
2021-12-01,6:00 PM,7:00 PM,Philadelphia Flyers,1,New York Rangers,4,Regulation
2021-12-01,6:30 PM,7:30 PM,Colorado Avalanche,3,Toronto Maple Leafs,8,Regulation
2021-12-01,6:30 PM,7:30 PM,Vancouver Canucks,6,Ottawa Senators,2,Regulation
2021-12-01,6:30 PM,7:30 PM,Seattle Kraken,3,Detroit Red Wings,4,SO
2021-12-01,9:00 PM,10:00 PM,Pittsburgh Penguins,2,Edmonton Oilers,5,Regulation
2021-12-01,9:00 PM,10:00 PM,Vegas Golden Knights,5,Anaheim Ducks,6,Regulation
2021-12-02,6:00 PM,7:00 PM,Colorado Avalanche,4,Montreal Canadiens,1,Regulation
2021-12-02,6:00 PM,7:00 PM,St. Louis Blues,2,Tampa Bay Lightning,4,Regulation
2021-12-02,6:00 PM,7:00 PM,Buffalo Sabres,4,Florida Panthers,7,Regulation
2021-12-02,6:00 PM,7:00 PM,Chicago Blackhawks,4,Washington Capitals,3,SO
2021-12-02,6:00 PM,7:00 PM,Ottawa Senators,3,Carolina Hurricanes,2,Regulation
2021-12-02,6:30 PM,7:30 PM,San Jose Sharks,2,New York Islanders,1,OT
2021-12-02,7:00 PM,8:00 PM,Boston Bruins,2,Nashville Predators,0,Regulation
2021-12-02,7:00 PM,8:00 PM,New Jersey Devils,2,Minnesota Wild,5,Regulation
2021-12-02,7:30 PM,8:30 PM,Columbus Blue Jackets,2,Dallas Stars,3,Regulation
2021-12-02,9:30 PM,10:30 PM,Calgary Flames,3,Los Angeles Kings,2,Regulation
2021-12-03,6:00 PM,7:00 PM,San Jose Sharks,0,New York Rangers,1,Regulation
2021-12-03,7:00 PM,8:00 PM,New Jersey Devils,4,Winnipeg Jets,8,Regulation
2021-12-03,8:30 PM,9:30 PM,Vegas Golden Knights,7,Arizona Coyotes,1,Regulation
2021-12-03,9:00 PM,10:00 PM,Calgary Flames,4,Anaheim Ducks,3,SO
2021-12-03,9:00 PM,10:00 PM,Edmonton Oilers,3,Seattle Kraken,4,Regulation
2021-12-04,12:00 PM,1:00 PM,St. Louis Blues,3,Florida Panthers,4,SO
2021-12-04,6:00 PM,7:00 PM,Tampa Bay Lightning,3,Boston Bruins,2,OT
2021-12-04,6:00 PM,7:00 PM,Colorado Avalanche,5,Ottawa Senators,6,OT
2021-12-04,6:00 PM,7:00 PM,New York Islanders,3,Detroit Red Wings,4,OT
2021-12-04,6:00 PM,7:00 PM,Columbus Blue Jackets,1,Washington Capitals,3,Regulation
2021-12-04,6:00 PM,7:00 PM,Montreal Canadiens,3,Nashville Predators,4,OT
2021-12-04,6:00 PM,7:00 PM,Toronto Maple Leafs,3,Minnesota Wild,4,SO
2021-12-04,6:30 PM,7:30 PM,Buffalo Sabres,2,Carolina Hurricanes,6,Regulation
2021-12-04,7:00 PM,8:00 PM,Chicago Blackhawks,2,New York Rangers,3,Regulation
2021-12-04,9:00 PM,10:00 PM,Pittsburgh Penguins,4,Vancouver Canucks,1,Regulation
2021-12-05,5:00 PM,6:00 PM,Tampa Bay Lightning,7,Philadelphia Flyers,1,Regulation
2021-12-05,5:00 PM,6:00 PM,San Jose Sharks,4,Columbus Blue Jackets,6,Regulation
2021-12-05,6:30 PM,7:30 PM,Chicago Blackhawks,3,New York Islanders,2,SO
2021-12-05,7:00 PM,8:00 PM,Toronto Maple Leafs,3,Winnipeg Jets,6,Regulation
2021-12-05,7:00 PM,8:00 PM,Los Angeles Kings,5,Edmonton Oilers,1,Regulation
2021-12-05,9:00 PM,10:00 PM,Calgary Flames,2,Vegas Golden Knights,3,Regulation
2021-12-06,6:00 PM,7:00 PM,Ottawa Senators,3,New Jersey Devils,2,SO
2021-12-06,6:00 PM,7:00 PM,Colorado Avalanche,7,Philadelphia Flyers,5,Regulation
2021-12-06,6:00 PM,7:00 PM,Anaheim Ducks,3,Washington Capitals,4,SO
2021-12-06,7:30 PM,8:30 PM,Arizona Coyotes,1,Dallas Stars,4,Regulation
2021-12-06,9:00 PM,10:00 PM,Los Angeles Kings,0,Vancouver Canucks,4,Regulation
2021-12-06,9:00 PM,10:00 PM,Pittsburgh Penguins,6,Seattle Kraken,1,Regulation
2021-12-07,6:00 PM,7:00 PM,Columbus Blue Jackets,4,Toronto Maple Leafs,5,Regulation
2021-12-07,6:00 PM,7:00 PM,Tampa Bay Lightning,3,Montreal Canadiens,2,Regulation
2021-12-07,6:00 PM,7:00 PM,New York Islanders,5,Ottawa Senators,3,Regulation
2021-12-07,6:00 PM,7:00 PM,Nashville Predators,5,Detroit Red Wings,2,Regulation
2021-12-07,6:30 PM,7:30 PM,Anaheim Ducks,2,Buffalo Sabres,0,Regulation
2021-12-07,7:00 PM,8:00 PM,Florida Panthers,3,St. Louis Blues,4,OT
2021-12-07,7:00 PM,8:00 PM,Carolina Hurricanes,4,Winnipeg Jets,2,Regulation
2021-12-07,7:30 PM,8:30 PM,New York Rangers,6,Chicago Blackhawks,2,Regulation
2021-12-07,8:00 PM,9:00 PM,Minnesota Wild,4,Edmonton Oilers,1,Regulation
2021-12-07,9:30 PM,10:30 PM,Calgary Flames,3,San Jose Sharks,5,Regulation
2021-12-08,6:00 PM,7:00 PM,Philadelphia Flyers,0,New Jersey Devils,3,Regulation
2021-12-08,6:00 PM,7:00 PM,Colorado Avalanche,7,New York Rangers,3,Regulation
2021-12-08,8:00 PM,9:00 PM,Boston Bruins,1,Vancouver Canucks,2,SO
2021-12-08,9:00 PM,10:00 PM,Dallas Stars,4,Vegas Golden Knights,5,Regulation
2021-12-09,6:00 PM,7:00 PM,Tampa Bay Lightning,5,Toronto Maple Leafs,3,Regulation
2021-12-09,6:00 PM,7:00 PM,Chicago Blackhawks,2,Montreal Canadiens,0,Regulation
2021-12-09,6:00 PM,7:00 PM,Anaheim Ducks,2,Columbus Blue Jackets,1,SO
2021-12-09,6:30 PM,7:30 PM,Nashville Predators,4,New York Islanders,3,Regulation
2021-12-09,7:00 PM,8:00 PM,Detroit Red Wings,2,St. Louis Blues,6,Regulation
2021-12-09,8:00 PM,9:00 PM,Carolina Hurricanes,2,Calgary Flames,1,OT
2021-12-09,8:00 PM,9:00 PM,Boston Bruins,3,Edmonton Oilers,2,Regulation
2021-12-09,9:00 PM,10:00 PM,Winnipeg Jets,3,Seattle Kraken,0,Regulation
2021-12-09,9:30 PM,10:30 PM,Dallas Stars,0,Los Angeles Kings,4,Regulation
2021-12-09,9:30 PM,10:30 PM,Minnesota Wild,5,San Jose Sharks,2,Regulation
2021-12-10,6:00 PM,7:00 PM,New York Rangers,2,Buffalo Sabres,1,Regulation
2021-12-10,6:00 PM,7:00 PM,Pittsburgh Penguins,4,Washington Capitals,2,Regulation
2021-12-10,6:30 PM,7:30 PM,Nashville Predators,3,New Jersey Devils,2,Regulation
2021-12-10,8:00 PM,9:00 PM,Detroit Red Wings,3,Colorado Avalanche,7,Regulation
2021-12-10,8:00 PM,9:00 PM,Florida Panthers,3,Arizona Coyotes,1,Regulation
2021-12-10,9:00 PM,10:00 PM,Winnipeg Jets,3,Vancouver Canucks,4,SO
2021-12-10,9:00 PM,10:00 PM,Philadelphia Flyers,4,Vegas Golden Knights,3,Regulation
2021-12-11,12:00 PM,1:00 PM,Tampa Bay Lightning,0,Ottawa Senators,4,Regulation
2021-12-11,6:00 PM,7:00 PM,Washington Capitals,3,Buffalo Sabres,2,SO
2021-12-11,6:00 PM,7:00 PM,Chicago Blackhawks,4,Toronto Maple Leafs,5,Regulation
2021-12-11,6:00 PM,7:00 PM,Anaheim Ducks,0,Pittsburgh Penguins,1,Regulation
2021-12-11,6:00 PM,7:00 PM,Montreal Canadiens,1,St. Louis Blues,4,Regulation
2021-12-11,6:30 PM,7:30 PM,New Jersey Devils,2,New York Islanders,4,Regulation
2021-12-11,8:00 PM,9:00 PM,Philadelphia Flyers,5,Arizona Coyotes,3,Regulation
2021-12-11,9:00 PM,10:00 PM,Boston Bruins,4,Calgary Flames,2,Regulation
2021-12-11,9:00 PM,10:00 PM,Carolina Hurricanes,3,Edmonton Oilers,1,Regulation
2021-12-11,9:00 PM,10:00 PM,Columbus Blue Jackets,5,Seattle Kraken,4,OT
2021-12-11,9:30 PM,10:30 PM,Minnesota Wild,1,Los Angeles Kings,2,Regulation
2021-12-11,9:30 PM,10:30 PM,Dallas Stars,1,San Jose Sharks,2,Regulation
2021-12-12,6:00 PM,7:00 PM,Nashville Predators,1,New York Rangers,0,Regulation
2021-12-12,6:00 PM,7:00 PM,Anaheim Ducks,3,St. Louis Blues,2,OT
2021-12-12,7:00 PM,8:00 PM,Florida Panthers,2,Colorado Avalanche,3,Regulation
2021-12-12,8:00 PM,9:00 PM,Minnesota Wild,4,Vegas Golden Knights,6,Regulation
2021-12-12,9:00 PM,10:00 PM,Carolina Hurricanes,1,Vancouver Canucks,2,Regulation
2021-12-14,6:00 PM,7:00 PM,Vegas Golden Knights,4,Boston Bruins,1,Regulation
2021-12-14,6:00 PM,7:00 PM,Los Angeles Kings,2,Tampa Bay Lightning,3,OT
2021-12-14,6:00 PM,7:00 PM,Ottawa Senators,8,Florida Panthers,2,Regulation
2021-12-14,6:00 PM,7:00 PM,New Jersey Devils,1,Philadelphia Flyers,6,Regulation
2021-12-14,6:00 PM,7:00 PM,Montreal Canadiens,2,Pittsburgh Penguins,5,Regulation
2021-12-14,6:30 PM,7:30 PM,New York Islanders,1,Detroit Red Wings,2,Regulation
2021-12-14,7:00 PM,8:00 PM,Buffalo Sabres,4,Winnipeg Jets,2,Regulation
2021-12-14,7:30 PM,8:30 PM,St. Louis Blues,4,Dallas Stars,1,Regulation
2021-12-14,8:00 PM,9:00 PM,New York Rangers,2,Colorado Avalanche,4,Regulation
2021-12-14,8:00 PM,9:00 PM,Toronto Maple Leafs,5,Edmonton Oilers,1,Regulation
2021-12-14,9:00 PM,10:00 PM,Columbus Blue Jackets,3,Vancouver Canucks,4,Regulation
2021-12-14,9:30 PM,10:30 PM,Seattle Kraken,3,San Jose Sharks,1,Regulation
2021-12-15,7:00 PM,8:00 PM,Washington Capitals,4,Chicago Blackhawks,5,OT
2021-12-15,8:00 PM,9:00 PM,New York Rangers,3,Arizona Coyotes,2,Regulation
2021-12-15,9:00 PM,10:00 PM,Seattle Kraken,1,Anaheim Ducks,4,Regulation
2021-12-16,6:00 PM,7:00 PM,Philadelphia Flyers,2,Montreal Canadiens,3,SO
2021-12-16,6:00 PM,7:00 PM,Ottawa Senators,1,Tampa Bay Lightning,2,Regulation
2021-12-16,6:00 PM,7:00 PM,Los Angeles Kings,4,Florida Panthers,1,Regulation
2021-12-16,6:00 PM,7:00 PM,Vegas Golden Knights,5,New Jersey Devils,3,Regulation
2021-12-16,6:00 PM,7:00 PM,Detroit Red Wings,3,Carolina Hurricanes,5,Regulation
2021-12-16,6:30 PM,7:30 PM,Boston Bruins,1,New York Islanders,3,Regulation
2021-12-16,7:00 PM,8:00 PM,Colorado Avalanche,2,Nashville Predators,5,Regulation
2021-12-16,7:00 PM,8:00 PM,Buffalo Sabres,3,Minnesota Wild,2,SO
2021-12-16,8:00 PM,9:00 PM,Columbus Blue Jackets,2,Edmonton Oilers,5,Regulation
2021-12-16,9:30 PM,10:30 PM,Vancouver Canucks,5,San Jose Sharks,2,Regulation
2021-12-17,6:00 PM,7:00 PM,Vegas Golden Knights,3,New York Rangers,2,SO
2021-12-17,6:00 PM,7:00 PM,Buffalo Sabres,2,Pittsburgh Penguins,3,OT
2021-12-17,7:00 PM,8:00 PM,Dallas Stars,1,St. Louis Blues,4,Regulation
2021-12-17,7:00 PM,8:00 PM,Washington Capitals,5,Winnipeg Jets,2,Regulation
2021-12-17,7:30 PM,8:30 PM,Nashville Predators,3,Chicago Blackhawks,2,OT
2021-12-17,9:00 PM,10:00 PM,Arizona Coyotes,6,Anaheim Ducks,5,OT
2021-12-18,6:00 PM,7:00 PM,Ottawa Senators,3,Philadelphia Flyers,4,OT
2021-12-18,6:00 PM,7:00 PM,Los Angeles Kings,1,Carolina Hurricanes,5,Regulation
2021-12-18,7:00 PM,8:00 PM,New Jersey Devils,2,Detroit Red Wings,5,Regulation
2021-12-18,7:00 PM,8:00 PM,Chicago Blackhawks,3,Dallas Stars,4,OT
2021-12-18,9:00 PM,10:00 PM,Edmonton Oilers,5,Seattle Kraken,3,Regulation
2021-12-19,1:00 PM,2:00 PM,Vegas Golden Knights,4,New York Islanders,3,SO
2021-12-19,2:00 PM,3:00 PM,St. Louis Blues,2,Winnipeg Jets,4,Regulation
2021-12-19,6:00 PM,7:00 PM,Pittsburgh Penguins,3,New Jersey Devils,2,Regulation
2021-12-19,6:00 PM,7:00 PM,Los Angeles Kings,3,Washington Capitals,2,Regulation
2021-12-20,7:30 PM,8:30 PM,Minnesota Wild,4,Dallas Stars,7,Regulation
2021-12-21,9:00 PM,10:00 PM,Tampa Bay Lightning,4,Vegas Golden Knights,3,Regulation
2021-12-28,6:00 PM,7:00 PM,Montreal Canadiens,4,Tampa Bay Lightning,5,OT
2021-12-28,9:30 PM,10:30 PM,Vegas Golden Knights,6,Los Angeles Kings,3,Regulation
2021-12-28,9:30 PM,10:30 PM,Arizona Coyotes,7,San Jose Sharks,8,SO
2021-12-29,6:00 PM,7:00 PM,New Jersey Devils,4,Buffalo Sabres,3,Regulation
2021-12-29,6:00 PM,7:00 PM,New York Rangers,3,Florida Panthers,4,Regulation
2021-12-29,6:00 PM,7:00 PM,Nashville Predators,3,Washington Capitals,5,Regulation
2021-12-29,7:30 PM,8:30 PM,Edmonton Oilers,2,St. Louis Blues,4,Regulation
2021-12-29,9:00 PM,10:00 PM,Philadelphia Flyers,3,Seattle Kraken,2,OT
2021-12-29,9:30 PM,10:30 PM,Vancouver Canucks,2,Anaheim Ducks,1,OT
2021-12-30,6:00 PM,7:00 PM,Tampa Bay Lightning,3,Florida Panthers,9,Regulation
2021-12-30,6:00 PM,7:00 PM,Montreal Canadiens,0,Carolina Hurricanes,4,Regulation
2021-12-30,6:00 PM,7:00 PM,Nashville Predators,3,Columbus Blue Jackets,4,SO
2021-12-30,6:30 PM,7:30 PM,Buffalo Sabres,1,New York Islanders,4,Regulation
2021-12-30,9:00 PM,10:00 PM,Calgary Flames,6,Seattle Kraken,4,Regulation
2021-12-30,9:30 PM,10:30 PM,Vancouver Canucks,1,Los Angeles Kings,2,SO
2021-12-30,9:30 PM,10:30 PM,Philadelphia Flyers,2,San Jose Sharks,3,OT
2021-12-31,12:00 PM,1:00 PM,Edmonton Oilers,5,New Jersey Devils,6,OT
2021-12-31,2:00 PM,3:00 PM,Anaheim Ducks,1,Vegas Golden Knights,3,Regulation
2021-12-31,6:00 PM,7:00 PM,New York Rangers,4,Tampa Bay Lightning,3,SO
2021-12-31,6:30 PM,7:30 PM,Washington Capitals,3,Detroit Red Wings,1,Regulation
2022-01-01,12:00 PM,1:00 PM,Buffalo Sabres,3,Boston Bruins,4,OT
2022-01-01,12:00 PM,1:00 PM,Montreal Canadiens,2,Florida Panthers,5,Regulation
2022-01-01,12:00 PM,1:00 PM,Carolina Hurricanes,7,Columbus Blue Jackets,4,Regulation
2022-01-01,1:00 PM,2:00 PM,Edmonton Oilers,2,New York Islanders,3,OT
2022-01-01,1:00 PM,2:00 PM,Chicago Blackhawks,1,Nashville Predators,6,Regulation
2022-01-01,6:00 PM,7:00 PM,Ottawa Senators,0,Toronto Maple Leafs,6,Regulation
2022-01-01,6:00 PM,7:00 PM,St. Louis Blues,6,Minnesota Wild,4,Regulation
2022-01-01,9:00 PM,10:00 PM,Vancouver Canucks,5,Seattle Kraken,2,Regulation
2022-01-01,9:30 PM,10:30 PM,Philadelphia Flyers,3,Los Angeles Kings,6,Regulation
2022-01-02,11:30 AM,12:30 PM,Tampa Bay Lightning,0,New York Rangers,4,Regulation
2022-01-02,12:00 PM,1:00 PM,Boston Bruins,5,Detroit Red Wings,1,Regulation
2022-01-02,12:00 PM,1:00 PM,San Jose Sharks,5,Pittsburgh Penguins,8,Regulation
2022-01-02,2:00 PM,3:00 PM,New Jersey Devils,4,Washington Capitals,3,OT
2022-01-02,2:00 PM,3:00 PM,Anaheim Ducks,2,Colorado Avalanche,4,Regulation
2022-01-02,3:00 PM,4:00 PM,Winnipeg Jets,5,Vegas Golden Knights,4,OT
2022-01-02,6:00 PM,7:00 PM,Calgary Flames,5,Chicago Blackhawks,1,Regulation
2022-01-03,6:00 PM,7:00 PM,Edmonton Oilers,1,New York Rangers,4,Regulation
2022-01-04,6:00 PM,7:00 PM,New Jersey Devils,3,Boston Bruins,5,Regulation
2022-01-04,6:00 PM,7:00 PM,Calgary Flames,2,Florida Panthers,6,Regulation
2022-01-04,6:00 PM,7:00 PM,Tampa Bay Lightning,7,Columbus Blue Jackets,2,Regulation
2022-01-04,6:30 PM,7:30 PM,San Jose Sharks,2,Detroit Red Wings,6,Regulation
2022-01-04,7:30 PM,8:30 PM,Colorado Avalanche,4,Chicago Blackhawks,3,OT
2022-01-04,8:00 PM,9:00 PM,Winnipeg Jets,3,Arizona Coyotes,1,Regulation
2022-01-04,9:00 PM,10:00 PM,Nashville Predators,3,Vegas Golden Knights,2,Regulation
2022-01-04,9:00 PM,10:00 PM,Philadelphia Flyers,1,Anaheim Ducks,4,Regulation
2022-01-05,6:00 PM,7:00 PM,Edmonton Oilers,2,Toronto Maple Leafs,4,Regulation
2022-01-05,6:30 PM,7:30 PM,St. Louis Blues,3,Pittsburgh Penguins,5,Regulation
2022-01-06,6:00 PM,7:00 PM,Minnesota Wild,3,Boston Bruins,2,Regulation
2022-01-06,6:00 PM,7:00 PM,San Jose Sharks,3,Buffalo Sabres,2,Regulation
2022-01-06,6:00 PM,7:00 PM,Calgary Flames,1,Tampa Bay Lightning,4,Regulation
2022-01-06,6:00 PM,7:00 PM,Columbus Blue Jackets,1,New Jersey Devils,3,Regulation
2022-01-06,6:00 PM,7:00 PM,Pittsburgh Penguins,6,Philadelphia Flyers,2,Regulation
2022-01-06,7:30 PM,8:30 PM,Florida Panthers,5,Dallas Stars,6,SO
2022-01-06,8:00 PM,9:00 PM,Winnipeg Jets,1,Colorado Avalanche,7,Regulation
2022-01-06,8:00 PM,9:00 PM,Chicago Blackhawks,4,Arizona Coyotes,6,Regulation
2022-01-06,9:00 PM,10:00 PM,New York Rangers,1,Vegas Golden Knights,5,Regulation
2022-01-06,9:30 PM,10:30 PM,Nashville Predators,4,Los Angeles Kings,2,Regulation
2022-01-07,6:00 PM,7:00 PM,Calgary Flames,3,Carolina Hurricanes,6,Regulation
2022-01-07,7:00 PM,8:00 PM,Washington Capitals,1,St. Louis Blues,5,Regulation
2022-01-08,1:00 PM,2:00 PM,Pittsburgh Penguins,2,Dallas Stars,3,Regulation
2022-01-08,6:00 PM,7:00 PM,Boston Bruins,5,Tampa Bay Lightning,2,Regulation
2022-01-08,6:00 PM,7:00 PM,San Jose Sharks,3,Philadelphia Flyers,2,OT
2022-01-08,6:00 PM,7:00 PM,Florida Panthers,4,Carolina Hurricanes,3,OT
2022-01-08,6:00 PM,7:00 PM,New Jersey Devils,3,Columbus Blue Jackets,4,Regulation
2022-01-08,6:00 PM,7:00 PM,Toronto Maple Leafs,4,Colorado Avalanche,5,OT
2022-01-08,7:00 PM,8:00 PM,Washington Capitals,2,Minnesota Wild,3,SO
2022-01-08,7:00 PM,8:00 PM,Nashville Predators,4,Arizona Coyotes,2,Regulation
2022-01-08,9:00 PM,10:00 PM,Chicago Blackhawks,2,Vegas Golden Knights,1,Regulation
2022-01-08,9:00 PM,10:00 PM,New York Rangers,4,Anaheim Ducks,1,Regulation
2022-01-08,9:30 PM,10:30 PM,Detroit Red Wings,0,Los Angeles Kings,4,Regulation
2022-01-09,1:00 PM,2:00 PM,Dallas Stars,1,St. Louis Blues,2,Regulation
2022-01-09,7:00 PM,8:00 PM,Detroit Red Wings,3,Anaheim Ducks,4,SO
2022-01-10,6:00 PM,7:00 PM,Boston Bruins,7,Washington Capitals,3,Regulation
2022-01-10,8:00 PM,9:00 PM,Seattle Kraken,3,Colorado Avalanche,4,Regulation
2022-01-10,9:30 PM,10:30 PM,New York Rangers,1,Los Angeles Kings,3,Regulation
2022-01-11,6:00 PM,7:00 PM,Tampa Bay Lightning,6,Buffalo Sabres,1,Regulation
2022-01-11,6:00 PM,7:00 PM,Vancouver Canucks,2,Florida Panthers,5,Regulation
2022-01-11,6:00 PM,7:00 PM,Chicago Blackhawks,4,Columbus Blue Jackets,2,Regulation
2022-01-11,7:00 PM,8:00 PM,Colorado Avalanche,4,Nashville Predators,5,OT
2022-01-11,9:00 PM,10:00 PM,Toronto Maple Leafs,4,Vegas Golden Knights,3,SO
2022-01-11,9:00 PM,10:00 PM,Pittsburgh Penguins,4,Anaheim Ducks,1,Regulation
2022-01-11,9:30 PM,10:30 PM,Detroit Red Wings,2,San Jose Sharks,3,OT
2022-01-12,6:00 PM,7:00 PM,Montreal Canadiens,1,Boston Bruins,5,Regulation
2022-01-12,7:30 PM,8:30 PM,Seattle Kraken,2,Dallas Stars,5,Regulation
2022-01-12,9:00 PM,10:00 PM,Toronto Maple Leafs,1,Arizona Coyotes,2,Regulation
2022-01-13,6:00 PM,7:00 PM,Philadelphia Flyers,2,Boston Bruins,3,Regulation
2022-01-13,6:00 PM,7:00 PM,Vancouver Canucks,2,Tampa Bay Lightning,4,Regulation
2022-01-13,6:00 PM,7:00 PM,Columbus Blue Jackets,6,Carolina Hurricanes,0,Regulation
2022-01-13,6:30 PM,7:30 PM,Winnipeg Jets,3,Detroit Red Wings,0,Regulation
2022-01-13,6:30 PM,7:30 PM,New Jersey Devils,2,New York Islanders,3,Regulation
2022-01-13,7:00 PM,8:00 PM,Seattle Kraken,1,St. Louis Blues,2,Regulation
2022-01-13,7:00 PM,8:00 PM,Buffalo Sabres,4,Nashville Predators,1,Regulation
2022-01-13,7:30 PM,8:30 PM,Montreal Canadiens,2,Chicago Blackhawks,3,OT
