gameDate,result,home_or_away_t1,home_or_away_t2,xGoalsPercentage_5on5_1,team_strength_5on5_1,team_strength_5on4_1,team_strength_4on5_1,xGoalsPercentage_5on5_2,team_strength_5on5_2,team_strength_5on4_2,team_strength_4on5_2,goalie_strength_1,goalie_strength_2,forward_strength_1,defense_strength_1,forward_strength_2,defense_strength_2,xGoalsPercentage_last_3_1,xGoalsPercentage_last_5_1,xGoalsPercentage_last_10_1,xGoalsPercentage_last_3_2,xGoalsPercentage_last_5_2,xGoalsPercentage_last_10_2,teams
2021-10-12,team 2,1,0,0.52,100.96249999999999,15.132500000000002,-2.271250000000001,0.54,96.06958333333331,16.368333333333332,-4.604583333333334,0.9104036076764562,0.9005394972786915,21.251611402891044,45.89273947980203,24.072525854327896,58.68308784930262,0.5,0.5,0.5,0.5264666666666665,0.5026999999999999,0.48046,"('TBL', 'PIT')"
2021-10-12,team 1,1,0,0.52,93.96791666666668,13.30125,-2.4870833333333344,0.48,88.58541666666665,15.04875,-2.7625,0.5335600751345447,0.6990198153786804,31.129182231132987,59.17407233808317,23.99790783014084,54.36205818377148,0.5963333333333333,0.58572,0.51468,0.5,0.5,0.5,"('VGK', 'SEA')"
2021-10-13,team 1,1,0,0.55,143.93625,20.860833333333332,-3.5691666666666677,0.45,135.57124999999996,28.82125,-5.142083333333332,0.49247512758324963,0.38484422332979407,58.50577530384,88.56445993410912,16.847018560775428,51.36671159960021,0.5604999999999999,0.57572,0.56224,0.49416666666666664,0.45648,0.48723,"('TOR', 'MTL')"
2021-10-13,team 1,1,0,0.5,103.32708333333335,18.54625,-0.37791666666666757,0.46,94.91291666666667,19.57333333333333,-5.185833333333332,0.5218936777717755,0.7313169865446478,15.664744090397424,47.94898269623505,24.452855250166746,52.06327878121516,0.6004666666666669,0.62976,0.58881,0.30263333333333264,0.32806,0.40689000000000003,"('WSH', 'NYR')"
2021-10-13,team 1,1,0,0.53,96.8925,20.055833333333332,-3.465833333333334,0.47,118.05083333333332,22.09041666666667,-6.815,0.6812850128581559,0.0,44.611707694727826,73.56685897992186,24.150787142837697,55.4663936388955,0.7161333333333334,0.6625599999999999,0.64403,0.33076666666666643,0.34752,0.37151,"('COL', 'CHI')"
2021-10-13,team 1,1,0,0.52,131.65791666666667,24.43083333333333,-4.186666666666667,0.49,91.76458333333332,14.267083333333336,-4.400000000000002,0.48693270345825174,0.9872545251017046,46.38254579714566,76.01134380581003,26.483871287931272,52.48394285526807,0.4685666666666666,0.48954000000000003,0.50281,0.3596333333333333,0.41042000000000006,0.42632000000000003,"('EDM', 'VAN')"
2021-10-13,team 1,1,0,0.49,109.32916666666668,18.48375,-6.204583333333336,0.49,122.57,33.13791666666667,-8.783749999999998,0.7610840661372933,1.325339263177321,21.571248630063174,47.59627378675495,28.28885689539015,62.04338278632423,0.4096333333333335,0.45804,0.47938000000000003,0.5555333333333328,0.51846,0.49239000000000005,"('ANA', 'WPG')"
2021-10-14,team 1,1,0,0.53,100.65083333333332,22.388333333333332,-5.9350000000000005,0.52,93.96791666666668,13.30125,-2.4870833333333344,0.6517379114181934,0.5335600751345447,39.65473175547254,70.28955769759142,31.129182231132987,59.17407233808317,0.5,0.5,0.5,0.5344333333333334,0.55894,0.50762,"('LAK', 'VGK')"
2021-10-14,team 2,1,0,0.5,116.59833333333333,20.975416666666668,-3.71875,0.48,88.58541666666665,15.04875,-2.7625,1.074831381709377,0.6990198153786804,16.927357026977738,43.80271017053571,23.99790783014084,54.36205818377148,0.5711666666666666,0.5468,0.51651,0.5,0.5,0.5,"('NSH', 'SEA')"
2021-10-14,team 2,1,0,0.47,88.79583333333333,15.4975,-1.7937500000000002,0.52,100.96249999999999,15.132500000000002,-2.271250000000001,0.8342533420696618,0.9104036076764562,19.522768704490616,41.73973156373458,21.251611402891044,45.89273947980203,0.4233666666666664,0.3648,0.39819000000000004,0.5,0.5,0.5,"('DET', 'TBL')"
2021-10-14,team 1,1,0,0.55,137.21458333333334,18.035416666666666,-2.4054166666666648,0.49,109.62666666666667,18.179583333333333,-3.362083333333334,0.6756583728499508,0.7660750361905567,40.52828797945408,71.06538531527687,18.205779477763112,37.69371775666192,0.47039999999999976,0.53318,0.51397,0.5025000000000001,0.5149,0.48261999999999994,"('CAR', 'NYI')"
2021-10-14,team 1,1,0,0.45,85.79041666666666,12.612916666666665,-0.20791666666666675,0.42,87.50708333333334,12.212083333333334,-4.346666666666667,0.7394854606267621,0.7406312554527685,-10.034738115045608,22.26857506675038,-7.241532521820525,26.88840101775873,0.46726666666666655,0.51592,0.46030000000000004,0.5347000000000004,0.5304399999999999,0.51442,"('CBJ', 'ARI')"
2021-10-14,team 1,1,0,0.56,122.3125,18.44,-3.9995833333333337,0.54,96.06958333333331,16.368333333333332,-4.604583333333334,0.603352695156282,0.9005394972786915,54.07708116413441,85.23586071903307,24.072525854327896,58.68308784930262,0.5027999999999998,0.54356,0.58463,0.6085333333333331,0.52306,0.5131,"('FLA', 'PIT')"
2021-10-14,team 1,1,0,0.47,113.48083333333332,17.73166666666667,-3.7529166666666685,0.55,143.93625,20.860833333333332,-3.5691666666666677,0.42412588423634784,0.49247512758324963,8.254811996206328,38.18346542879844,58.50577530384,88.56445993410912,0.4219333333333331,0.4473,0.5057,0.5440333333333331,0.57258,0.5783799999999999,"('OTT', 'TOR')"
